file_id,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
49,PLPI,HHN,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:18:53.770712
50,PLPI,HHE,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:01.532520
51,PLPI,HHZ,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:09.332759
52,PPMA,HHN,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:17.232936
53,PPMA,HHE,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:25.070583
54,PPMA,HHZ,FFT,2021-09-19,2021-09-20,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:33.094393
55,PLPI,HHN,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:40.876663
56,PLPI,HHE,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:48.713359
57,PLPI,HHZ,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:19:56.531756
58,PPMA,HHN,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:04.356850
59,PPMA,HHE,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:12.140155
60,PPMA,HHZ,FFT,2021-09-20,2021-09-21,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:19.985660
61,PLPI,HHN,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:27.701872
62,PLPI,HHE,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:35.394994
63,PLPI,HHZ,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:43.115798
64,PPMA,HHN,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:51.049124
65,PPMA,HHE,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:20:58.867427
66,PPMA,HHZ,FFT,2021-09-21,2021-09-22,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:06.981183
67,PLPI,HHN,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:14.953774
68,PLPI,HHE,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:22.757480
69,PLPI,HHZ,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:30.521123
70,PPMA,HHN,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:38.418436
71,PPMA,HHE,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:46.170052
72,PPMA,HHZ,FFT,2021-09-22,2021-09-23,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:21:54.053056
73,PLPI,HHN,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:01.767101
74,PLPI,HHE,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:09.498859
75,PLPI,HHZ,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:17.264898
76,PPMA,HHN,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:25.345630
77,PPMA,HHE,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:33.361194
78,PPMA,HHZ,FFT,2021-09-23,2021-09-24,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:41.432674
79,PLPI,HHN,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:49.266665
80,PLPI,HHE,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:22:56.836509
81,PLPI,HHZ,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:04.365084
82,PPMA,HHN,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:12.151420
83,PPMA,HHE,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:19.868590
84,PPMA,HHZ,FFT,2021-09-24,2021-09-25,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:27.612578
85,PLPI,HHN,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:35.255572
86,PLPI,HHE,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:42.998590
87,PLPI,HHZ,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:50.610357
88,PPMA,HHN,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:23:58.434662
89,PPMA,HHE,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:06.071493
90,PPMA,HHZ,FFT,2021-09-25,2021-09-26,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:13.717973
91,PLPI,HHN,FFT,2021-09-26,2021-09-27,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:21.511180
92,PLPI,HHE,FFT,2021-09-26,2021-09-27,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:29.234422
93,PLPI,HHZ,FFT,2021-09-26,2021-09-27,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:36.777422
94,PPMA,HHN,FFT,2021-09-26,2021-09-27,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:44.507229
95,PPMA,HHE,FFT,2021-09-26,2021-09-27,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:52.195500
96,PPMA,HHZ,FFT,2021-09-26,2021-09-27,3600.0,0.0,False,24,5400,0,50.0,8640001,100.0,False,False,2024-11-11 16:24:59.982460
97,PLPI,HHN,FFT,2021-09-12,2021-09-13,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:25.502869
98,PLPI,HHE,FFT,2021-09-12,2021-09-13,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:33.640335
99,PLPI,HHZ,FFT,2021-09-12,2021-09-13,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:41.763936
100,PPMA,HHN,FFT,2021-09-12,2021-09-13,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:49.562515
101,PPMA,HHE,FFT,2021-09-12,2021-09-13,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:46:57.400958
102,PPMA,HHZ,FFT,2021-09-12,2021-09-13,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:05.284841
103,PLPI,HHN,FFT,2021-09-13,2021-09-14,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:13.547315
104,PLPI,HHE,FFT,2021-09-13,2021-09-14,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:22.010037
105,PLPI,HHZ,FFT,2021-09-13,2021-09-14,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:30.512321
106,PPMA,HHN,FFT,2021-09-13,2021-09-14,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:39.048297
107,PPMA,HHE,FFT,2021-09-13,2021-09-14,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:47.519043
108,PPMA,HHZ,FFT,2021-09-13,2021-09-14,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:47:55.948876
109,PLPI,HHN,FFT,2021-09-14,2021-09-15,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:04.144047
110,PLPI,HHE,FFT,2021-09-14,2021-09-15,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:12.253268
111,PLPI,HHZ,FFT,2021-09-14,2021-09-15,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:20.442056
112,PPMA,HHN,FFT,2021-09-14,2021-09-15,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:28.567659
113,PPMA,HHE,FFT,2021-09-14,2021-09-15,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:36.746115
114,PPMA,HHZ,FFT,2021-09-14,2021-09-15,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:44.931876
115,PLPI,HHN,FFT,2021-09-15,2021-09-16,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:53.122225
116,PLPI,HHE,FFT,2021-09-15,2021-09-16,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:01.366069
117,PLPI,HHZ,FFT,2021-09-15,2021-09-16,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:09.571280
118,PPMA,HHN,FFT,2021-09-15,2021-09-16,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:17.762140
119,PPMA,HHE,FFT,2021-09-15,2021-09-16,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:26.004108
120,PPMA,HHZ,FFT,2021-09-15,2021-09-16,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:34.175125
121,PLPI,HHN,FFT,2021-09-16,2021-09-17,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:42.355974
122,PLPI,HHE,FFT,2021-09-16,2021-09-17,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:50.578118
123,PLPI,HHZ,FFT,2021-09-16,2021-09-17,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:58.750916
124,PPMA,HHN,FFT,2021-09-16,2021-09-17,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:06.984771
125,PPMA,HHE,FFT,2021-09-16,2021-09-17,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:15.059492
126,PPMA,HHZ,FFT,2021-09-16,2021-09-17,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:23.343147
127,PLPI,HHN,FFT,2021-09-17,2021-09-18,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:31.648299
128,PLPI,HHE,FFT,2021-09-17,2021-09-18,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:39.848517
129,PLPI,HHZ,FFT,2021-09-17,2021-09-18,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:47.986242
130,PPMA,HHN,FFT,2021-09-17,2021-09-18,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:50:56.262727
131,PPMA,HHE,FFT,2021-09-17,2021-09-18,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:04.421218
132,PPMA,HHZ,FFT,2021-09-17,2021-09-18,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:12.749580
133,PLPI,HHN,FFT,2021-09-18,2021-09-19,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:20.969647
134,PLPI,HHE,FFT,2021-09-18,2021-09-19,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:29.193126
135,PLPI,HHZ,FFT,2021-09-18,2021-09-19,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:37.385588
136,PPMA,HHN,FFT,2021-09-18,2021-09-19,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:45.574055
137,PPMA,HHE,FFT,2021-09-18,2021-09-19,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:53.843232
138,PPMA,HHZ,FFT,2021-09-18,2021-09-19,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:02.110849
139,PLPI,HHN,FFT,2021-09-19,2021-09-20,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:10.424779
140,PLPI,HHE,FFT,2021-09-19,2021-09-20,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:18.667884
141,PLPI,HHZ,FFT,2021-09-19,2021-09-20,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:27.060448
142,PPMA,HHN,FFT,2021-09-19,2021-09-20,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:35.494031
143,PPMA,HHE,FFT,2021-09-19,2021-09-20,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:43.918084
144,PPMA,HHZ,FFT,2021-09-19,2021-09-20,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:52.255442
145,PLPI,HHN,FFT,2021-09-20,2021-09-21,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:00.406008
146,PLPI,HHE,FFT,2021-09-20,2021-09-21,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:08.609588
147,PLPI,HHZ,FFT,2021-09-20,2021-09-21,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:16.723402
148,PPMA,HHN,FFT,2021-09-20,2021-09-21,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:25.090803
149,PPMA,HHE,FFT,2021-09-20,2021-09-21,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:33.359010
150,PPMA,HHZ,FFT,2021-09-20,2021-09-21,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:41.792726
151,PLPI,HHN,FFT,2021-09-21,2021-09-22,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:50.093813
152,PLPI,HHE,FFT,2021-09-21,2021-09-22,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:58.180465
153,PLPI,HHZ,FFT,2021-09-21,2021-09-22,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:06.352585
154,PPMA,HHN,FFT,2021-09-21,2021-09-22,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:14.680410
155,PPMA,HHE,FFT,2021-09-21,2021-09-22,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:22.761330
156,PPMA,HHZ,FFT,2021-09-21,2021-09-22,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:30.975171
157,PLPI,HHN,FFT,2021-09-22,2021-09-23,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:39.184348
158,PLPI,HHE,FFT,2021-09-22,2021-09-23,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:47.394669
159,PLPI,HHZ,FFT,2021-09-22,2021-09-23,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:55.504474
160,PPMA,HHN,FFT,2021-09-22,2021-09-23,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:03.801060
161,PPMA,HHE,FFT,2021-09-22,2021-09-23,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:12.156783
162,PPMA,HHZ,FFT,2021-09-22,2021-09-23,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:20.785709
163,PLPI,HHN,FFT,2021-09-23,2021-09-24,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:28.943895
164,PLPI,HHE,FFT,2021-09-23,2021-09-24,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:36.997181
165,PLPI,HHZ,FFT,2021-09-23,2021-09-24,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:44.995141
166,PPMA,HHN,FFT,2021-09-23,2021-09-24,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:53.153503
167,PPMA,HHE,FFT,2021-09-23,2021-09-24,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:01.275152
168,PPMA,HHZ,FFT,2021-09-23,2021-09-24,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:09.293856
169,PLPI,HHN,FFT,2021-09-24,2021-09-25,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:17.042179
170,PLPI,HHE,FFT,2021-09-24,2021-09-25,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:25.031446
171,PLPI,HHZ,FFT,2021-09-24,2021-09-25,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:32.903548
172,PPMA,HHN,FFT,2021-09-24,2021-09-25,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:40.991695
173,PPMA,HHE,FFT,2021-09-24,2021-09-25,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:49.078600
174,PPMA,HHZ,FFT,2021-09-24,2021-09-25,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:56.851067
175,PLPI,HHN,FFT,2021-09-25,2021-09-26,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:04.819308
176,PLPI,HHE,FFT,2021-09-25,2021-09-26,10,0.0,False,8640,1500,0,50.0,8640001,100.0,False,False,2024-11-11 16:57:12.671159
